Company Name,Website,Category,Manufacturer,Brand,Distributor,Probiotics,Fortification,Gut Health,Women's Health,Cognitive Health,Sports Nutrition,Relevant
Nestle,https://www.nestle.com,Bulk,No,No,No,No,No,No,No,No,Yes,Yes
Dr. Reddy's Laboratories,https://www.drreddys.com,F&B,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
Coca,https://colacompany.com,Bulk,No,No,No,No,No,No,No,No,No,No
Pfizer,https://www.pfizer.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
PepsiCo,https://www.pepsico.com,F&B,No,Yes,No,No,No,No,No,No,No,No
Johnson & Johnson,https://www.jnj.com,Bulk,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Danone,https://www.danone.com,F&B,Yes,Yes,No,No,No,No,No,No,No,No
Bayer,https://www.bayer.com,F&B,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
General Mills,https://www.generalmills.com,F&B,No,Yes,Yes,No,No,No,No,No,Yes,Yes
GlaxoSmithKline (GSK),https://www.gsk.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Kellogg’s,https://www.kelloggs.com,F&B,No,Yes,No,No,No,No,No,No,Yes,Yes
Merck & Co.,https://www.merck.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,No,No
Unilever,https://www.unilever.com,F&B,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Roche,https://www.roche.com,Bulk,No,Yes,No,No,No,No,No,No,Yes,Yes
Nestle Waters,https://www.nestlewaters.com,Bulk,No,No,No,No,No,No,No,No,Yes,Yes
Sanofi,https://www.sanofi.com,Bulk,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes
Mondelez International,https://www.mondelezinternational.com,F&B,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Novartis,https://www.novartis.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Kraft Heinz,https://www.kraftheinzcompany.com,F&B,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Eli Lilly and Company,https://www.lilly.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Tyson Foods,https://www.tysonfoods.com,F&B,No,Yes,Yes,No,No,No,No,No,No,No
Teva Pharmaceuticals,https://www.tevapharm.com,Bulk,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Mars Incorporated,https://www.mars.com,F&B,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
AbbVie,https://www.abbvie.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Campbell Soup Company,https://www.campbellsoupcompany.com,F&B,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Amgen,https://www.amgen.com,Bulk,Yes,Yes,No,No,No,No,No,No,Yes,Yes
Conagra Brands,https://www.conagrabrands.com,Bulk,No,No,No,No,No,No,No,No,Yes,Yes
AstraZeneca,https://www.astrazeneca.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Molson Coors,https://www.molsoncoors.com,F&B,No,No,No,No,No,No,No,No,No,No
Boehringer Ingelheim,https://www.boehringeringelheim.com,Bulk,No,No,No,No,No,No,No,No,No,No
AB InBev,https://www.abinbev.com,F&B,No,Yes,No,No,No,No,No,No,Yes,Yes
BASF,https://www.basf.com,F&B,No,Yes,No,No,No,No,No,No,Yes,Yes
Diageo,https://www.diageo.com,F&B,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Procter & Gamble (P&G),https://www.pg.com,Bulk,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
Heineken,https://www.theheinekencompany.com,Bulk,No,Yes,No,No,No,No,No,No,Yes,Yes
Medtronic,https://www.medtronic.com,Bulk,No,Yes,No,No,No,No,Yes,No,Yes,Yes
McKesson,https://www.mckesson.com,Bulk,No,Yes,Yes,No,No,No,No,No,Yes,Yes
AmerisourceBergen,https://www.amerisourcebergen.com,Bulk,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Cardinal Health,https://www.cardinalhealth.com,F&B,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
Medline Industries,https://www.medline.com,Bulk,No,No,No,No,No,No,No,No,No,No
